,0
0,0.6930993795394897
1,0.6827130913734436
2,0.6863903999328613
3,0.6816812753677368
4,0.679618775844574
5,0.6832067370414734
6,0.6770256757736206
7,0.6702719926834106
8,0.6823306083679199
9,0.6847324967384338
10,0.6860636472702026
11,0.6722851991653442
12,0.6589618921279907
13,0.6683236956596375
14,0.6719592213630676
15,0.6818321347236633
16,0.6663633584976196
17,0.6708487272262573
18,0.668128252029419
19,0.6743415594100952
20,0.688065230846405
21,0.6684687733650208
22,0.6769880056381226
23,0.6809182167053223
24,0.6705847978591919
25,0.6762908101081848
26,0.6644938588142395
27,0.6718343496322632
28,0.6727036237716675
29,0.6877228617668152
30,0.6783210635185242
31,0.669770359992981
32,0.6781419515609741
33,0.6745980978012085
34,0.6839839816093445
35,0.6791431307792664
36,0.6767109632492065
37,0.6731840372085571
38,0.6794160604476929
39,0.6727504730224609
40,0.6503610610961914
41,0.6741185188293457
42,0.6656228303909302
43,0.6698836088180542
44,0.6680694222450256
45,0.6755882501602173
46,0.658085286617279
47,0.6723661422729492
48,0.6669274568557739
49,0.6745450496673584
50,0.672420859336853
51,0.6661209464073181
52,0.6834184527397156
53,0.6634863018989563
54,0.6713852882385254
55,0.6668964624404907
56,0.6831156611442566
57,0.6823371052742004
58,0.6769240498542786
59,0.6564002633094788
60,0.6644867062568665
61,0.6630328893661499
62,0.6642126441001892
63,0.6650543212890625
64,0.6683980226516724
65,0.6874918341636658
66,0.6880167126655579
67,0.6666804552078247
68,0.6812044382095337
69,0.691740095615387
70,0.6773996949195862
71,0.6804717779159546
72,0.688379168510437
73,0.6663898229598999
74,0.6782323122024536
75,0.6877584457397461
76,0.6928067803382874
77,0.6764753460884094
78,0.6792365908622742
79,0.7029730081558228
80,0.6892949938774109
81,0.6816946864128113
82,0.6811413764953613
83,0.6796310544013977
84,0.6873359680175781
85,0.6705563068389893
86,0.6866036653518677
87,0.6806975603103638
88,0.6679009795188904
89,0.6767028570175171
90,0.6915582418441772
91,0.6724761724472046
92,0.6832116842269897
93,0.6855837106704712
94,0.6775304675102234
95,0.6847578883171082
96,0.681549072265625
97,0.680280327796936
98,0.6841010451316833
99,0.6810115575790405
100,0.6742439270019531
101,0.6894908547401428
102,0.6855042576789856
103,0.6831530332565308
104,0.6876134276390076
105,0.6726394891738892
106,0.6627522110939026
107,0.694501519203186
108,0.6898949146270752
109,0.6862314343452454
110,0.6718081831932068
111,0.7044857144355774
112,0.678887665271759
113,0.6781565546989441
114,0.6760004162788391
115,0.6748958826065063
116,0.6827964782714844
117,0.677232563495636
118,0.6861105561256409
119,0.679247260093689
120,0.6835180521011353
121,0.6786638498306274
122,0.6906430721282959
123,0.6699908375740051
124,0.6721062660217285
125,0.6688793897628784
126,0.6816975474357605
127,0.6872451901435852
128,0.6727637648582458
129,0.6832496523857117
130,0.685295581817627
131,0.6752451658248901
132,0.6661334037780762
133,0.6838287115097046
134,0.6605852842330933
135,0.6671263575553894
136,0.6801644563674927
137,0.684390127658844
138,0.6836220026016235
139,0.6834505200386047
140,0.6952025294303894
141,0.6885016560554504
142,0.6702934503555298
143,0.6694060564041138
144,0.6596914529800415
145,0.671352744102478
146,0.6867450475692749
147,0.6924606561660767
148,0.6655781269073486
149,0.6577494740486145
150,0.6544097065925598
151,0.6646671295166016
152,0.6795530319213867
153,0.6782509684562683
154,0.689551830291748
155,0.6611669063568115
156,0.6647542715072632
157,0.6703730821609497
158,0.6646321415901184
159,0.6660081744194031
160,0.6784488558769226
161,0.6870132684707642
162,0.6553133726119995
163,0.6644748449325562
164,0.6726510524749756
165,0.6616997122764587
166,0.6841526031494141
167,0.6707966923713684
168,0.6617668271064758
169,0.6639116406440735
170,0.6729217171669006
171,0.676528811454773
172,0.6697658896446228
173,0.6640058755874634
174,0.6807861328125
175,0.6663638949394226
176,0.6922276616096497
177,0.6774833798408508
178,0.6749061346054077
179,0.6861316561698914
180,0.6672586798667908
181,0.68574458360672
